PERFIL;¿En qué universidad estudias actualmente?;¿En qué país estás cursando tus estudios?;¿A qué área principal pertenece tu carrera?;Por favor, escribe el nombre de tu carrera o programa de estudios.;¿Qué semestre estás cursando actualmente?;¿Cuál es tu edad?;¿Con qué género te identificas?;COMPETENCIAS_IA;Análisis e interpretación de datos.;Fundamentos de ciberseguridad.;Conceptos básicos de programación y automatización.;Manejo de herramientas de IA (ej. ChatGPT, Copilot, Gemini, DALL-E);Pensamiento crítico y resolución de problemas complejos;Comunicación efectiva en entornos digitales;Adaptabilidad y aprendizaje continuo;Creatividad e innovación;Colaboración en equipos multidisciplinarios;PERTINENCIA_LABORAL;El currículo de mi carrera está alineado con las habilidades demandadas por el mercado laboral digital.;Mi universidad promueve activamente el desarrollo de competencias digitales y blandas.;Siento que la formación que he recibido me prepara para trabajos que aún no existen.;El uso de la tecnología y la IA está bien integrado en las asignaturas de mi carrera.;La metodología de enseñanza en mi carrera fomenta la adaptabilidad y el aprendizaje continuo.;CONFIANZA_LABORAL;Me siento seguro(a) de que mi formación académica me prepara para conseguir un empleo relevante en mi área.;Mi perfil de egreso es competitivo en el mercado laboral actual.;Considero que mis habilidades blandas (ej. comunicación, creatividad) me dan una ventaja en el mercado laboral.;Creo que mi conocimiento sobre herramientas de IA mejorará mis oportunidades laborales.;Habilidades técnicas y digitales (ej. programación, análisis de datos);Habilidades blandas (ej. pensamiento crítico, adaptabilidad);Experiencia práctica o pasantías;Red de contactos (networking);Título académico de la universidad;EVALUACION_DOCENTE;El profesorado de mi carrera está capacitado para integrar herramientas de IA en la enseñanza.;Mi universidad fomenta la innovación en las metodologías de enseñanza para adaptarse a la era digital.;Mi universidad tiene los recursos adecuados (plataformas, software) para formar profesionales en la era digital.;En general, recomendaría mi universidad como una institución que prepara para los desafíos del mercado laboral digital.;El rol principal del profesorado será el de facilitador y guía del aprendizaje.;El profesorado deberá enfocarse más en enseñar habilidades humanas (pensamiento crítico, ética, creatividad) que en transmitir información.;El rol del profesorado se reducirá significativamente, siendo reemplazado en gran medida por la IA.;_id;_uuid;_submission_time;_validation_status;_notes;_status;_submitted_by;__version__;_tags;_index
;Escuela Superior de Chimborazo;Ecuador;Ingeniería y Tecnología;Software;8vo Semestre;21;Femenino;;Avanzado;Intermedio;Avanzado;Intermedio;Intermedio;Avanzado;Intermedio;Intermedio;Avanzado;;En desacuerdo;Neutral;Neutral;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588414327;484fcfdb-67ed-4a49-a900-c511ad94dcfb;2025-10-22T15:24:41;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;162
;Institución Universitaria de Envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;21;Femenino;;Intermedio;Básico;Intermedio;Intermedio;Avanzado;Intermedio;Avanzado;Intermedio;Avanzado;;Neutral;De acuerdo;Neutral;En desacuerdo;De acuerdo;;Importante;Importante;Importante;Muy importante;Importante;Muy importante;Importante;Muy importante;Muy importante;;De acuerdo;Neutral;Neutral;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;588414428;0b740aa7-e191-4170-846f-71a2154ac669;2025-10-22T15:24:47;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;163
;ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;Ecuador;Ciencias Económicas y Administrativas;FINANZAS;8vo Semestre;23;Femenino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588416348;7bd4efed-6992-44e0-a1d8-5a53c5cfb99c;2025-10-22T15:26:42;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;164
;ESPOCH;Ecuador;Ingeniería y Tecnología;Ingeniería de software;8vo Semestre;23;Prefiero no decirlo;;Intermedio;Básico;Avanzado;Avanzado;Intermedio;Intermedio;Intermedio;Avanzado;Básico;;Neutral;Neutral;En desacuerdo;Neutral;De acuerdo;;Neutral;Neutral;Neutral;Importante;Importante;Importante;Neutral;Neutral;Neutral;;Neutral;Neutral;De acuerdo;Neutral;De acuerdo;Neutral;Neutral;588416981;5e346164-834e-40f6-a4ce-2cb850cf2989;2025-10-22T15:27:24;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;165
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Carrera de Finanzas;8vo Semestre;24;Femenino;;Intermedio;Básico;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;De acuerdo;De acuerdo;Neutral;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588418073;42df622e-e3b8-4e4a-9444-41a13dfab4d0;2025-10-22T15:28:38;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;166
;Espoch;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;22;Masculino;;Básico;Básico;Básico;Experto;Básico;Básico;Básico;Básico;Básico;;Totalmente en desacuerdo;Totalmente en desacuerdo;Neutral;Totalmente en desacuerdo;En desacuerdo;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588418886;82254bd4-c53e-4978-8894-041f8241a3fa;2025-10-22T15:29:43;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;167
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;24;Masculino;;Avanzado;Intermedio;Básico;Básico;Básico;Básico;Intermedio;Intermedio;Intermedio;;De acuerdo;De acuerdo;De acuerdo;Neutral;De acuerdo;;Importante;Importante;Importante;Neutral;Neutral;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588419574;bbade003-9d15-498f-a31b-c86dda228463;2025-10-22T15:30:51;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;168
;ESPOCH;Ecuador;Ciencias de la Salud;Bioquímica y Farmacia;8vo Semestre;39;Femenino;;Básico;Ninguno;Básico;Básico;Básico;Ninguno;Básico;Básico;Básico;;Neutral;De acuerdo;Neutral;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;588419979;e2a25d90-6d24-4ff0-8876-bf6c169b56dd;2025-10-22T15:31:27;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;169
;Escuela Superior Politécnica de Chimborazo;Ecuador;Otro;Finanzas;8vo Semestre;21;Femenino;;Intermedio;Avanzado;Intermedio;Avanzado;Intermedio;Avanzado;Avanzado;Avanzado;Intermedio;;De acuerdo;De acuerdo;De acuerdo;Neutral;De acuerdo;;Neutral;Neutral;Neutral;Importante;Importante;Importante;Importante;Importante;Muy importante;;Neutral;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;588420934;8439ea87-2c16-4cc8-bff6-51747b195200;2025-10-22T15:32:23;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;170
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;22;Masculino;;Avanzado;Ninguno;Básico;Avanzado;Intermedio;Intermedio;Intermedio;Avanzado;Intermedio;;De acuerdo;Neutral;De acuerdo;Neutral;Neutral;;Neutral;Neutral;Importante;Poca importancia;Importante;Neutral;Neutral;Neutral;Poca importancia;;De acuerdo;Neutral;Neutral;De acuerdo;De acuerdo;En desacuerdo;Neutral;588422234;ed4f1c4f-7ccd-4b01-aa90-50d29fa00f99;2025-10-22T15:33:53;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;171
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;21;Masculino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Avanzado;Avanzado;;De acuerdo;De acuerdo;De acuerdo;Neutral;De acuerdo;;Importante;Importante;Importante;Muy importante;Importante;Importante;Muy importante;Importante;Muy importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;588422693;81cd225b-a867-46e1-af97-650bb9968b04;2025-10-22T15:34:21;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;172
;Espoch;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;22;Femenino;;Avanzado;Intermedio;Intermedio;Intermedio;Básico;Intermedio;Avanzado;Intermedio;Intermedio;;De acuerdo;Neutral;De acuerdo;Neutral;De acuerdo;;Neutral;Importante;Importante;Importante;Importante;Importante;Importante;Neutral;Importante;;Neutral;Neutral;Neutral;Neutral;De acuerdo;Totalmente de acuerdo;De acuerdo;588423642;2cb73b9c-0298-43f1-9bc7-ee53da18e9ab;2025-10-22T15:35:08;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;173
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Fiananzas;8vo Semestre;22;Femenino;;Avanzado;Básico;Intermedio;Ninguno;Avanzado;Intermedio;Avanzado;Avanzado;Intermedio;;Neutral;Neutral;Neutral;Neutral;Neutral;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Muy importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588423699;224aea52-f60d-4a37-b2ba-be4a57dbef8d;2025-10-22T15:35:12;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;174
;Escuela superior politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;22;Femenino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;De acuerdo;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588424125;d4b0c947-f494-4f27-ab9a-6cba02561054;2025-10-22T15:35:42;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;175
;ESPOCH;Ecuador;Otro;Finanzas;8vo Semestre;23;Femenino;;Avanzado;Avanzado;Básico;Avanzado;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;Neutral;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588424785;afd137a6-54ef-4002-b9e5-6b20ebe9024e;2025-10-22T15:36:25;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;176
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;20;Femenino;;Avanzado;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;;Importante;Importante;Importante;Importante;Muy importante;Muy importante;Importante;Muy importante;Muy importante;;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;588424920;d9f6ab0f-dcb5-40cb-87ef-dda34a72a96c;2025-10-22T15:36:34;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;177
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;24;Masculino;;Intermedio;Avanzado;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Intermedio;;De acuerdo;De acuerdo;Neutral;Neutral;De acuerdo;;Importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;588425034;971ac0e3-e944-454c-a7e5-e11a9c1ffcf2;2025-10-22T15:36:44;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;178
;Escuela Superior politécnica de Chimborazo;Ecuador;Otro;FINANZAS;8vo Semestre;21;Femenino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588425357;3a26da12-590e-4d21-843a-511d264e645a;2025-10-22T15:37:10;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;179
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;22;Masculino;;Básico;Básico;Intermedio;Ninguno;Avanzado;Avanzado;Intermedio;Avanzado;Intermedio;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Neutral;Neutral;Importante;Neutral;Muy importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588425934;99aff414-9855-4ae1-8079-7eb3dc2d4541;2025-10-22T15:37:48;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;180
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias de la Salud;Bioquímica y Farmacia;8vo Semestre;25;Femenino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Básico;Básico;;Neutral;De acuerdo;En desacuerdo;Totalmente en desacuerdo;Neutral;;Neutral;Neutral;Neutral;Neutral;Poca importancia;Poca importancia;Importante;Importante;Neutral;;Neutral;De acuerdo;Neutral;Neutral;En desacuerdo;Neutral;En desacuerdo;588426064;6b292139-6bed-4f3c-b537-ef6b2f3981bc;2025-10-22T15:37:57;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;181
;Espoch;Ecuador;Ciencias de la Salud;BIOQUÍMICA y farmacia;8vo Semestre;22;Femenino;;Básico;Básico;Básico;Básico;Básico;Básico;Básico;Básico;Básico;;Neutral;Neutral;Neutral;Neutral;Neutral;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588427715;a9ba313d-999e-4d5d-88d5-578d25e3f686;2025-10-22T15:39:35;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;182
;ESPOCH;Ecuador;Ciencias Económicas y Administrativas;FINANZAS;8vo Semestre;22;Femenino;;Avanzado;Intermedio;Avanzado;Experto;Experto;Experto;Experto;Experto;Experto;;Neutral;De acuerdo;Neutral;De acuerdo;De acuerdo;;Importante;Importante;Muy importante;Importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;588428728;9cc9cd8f-4214-40b8-bd7b-ecf9fa6518c0;2025-10-22T15:40:26;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;183
;Institución universitaria de envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;19;Femenino;;Intermedio;Intermedio;Ninguno;Intermedio;Avanzado;Intermedio;Avanzado;Avanzado;Avanzado;;Totalmente de acuerdo;De acuerdo;Neutral;Neutral;De acuerdo;;Importante;Neutral;Muy importante;Muy importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;;Neutral;De acuerdo;Neutral;De acuerdo;De acuerdo;De acuerdo;Neutral;588429930;cf9dfb36-a9f2-4f1e-8172-c8307d8b976c;2025-10-22T15:41:36;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;184
;IUE;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;28;Femenino;;Avanzado;Intermedio;Básico;Intermedio;Avanzado;Intermedio;Avanzado;Avanzado;Experto;;Neutral;Neutral;Neutral;Neutral;De acuerdo;;Importante;Importante;Muy importante;Importante;Neutral;Muy importante;Muy importante;Muy importante;Neutral;;Neutral;Neutral;Neutral;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;588429986;f336544b-d0b3-450c-b1fd-fccd9ac0494a;2025-10-22T15:41:40;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;185
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;24;Femenino;;Avanzado;Ninguno;Básico;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Intermedio;;Neutral;Neutral;Neutral;En desacuerdo;En desacuerdo;;Muy importante;Muy importante;Importante;Importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;;Neutral;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;588430334;edb68ee8-735c-41e7-b628-843eb0b2622a;2025-10-22T15:41:57;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;186
;Universidad de envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;20;Masculino;;Básico;Ninguno;Ninguno;Básico;Ninguno;Básico;Básico;Básico;Ninguno;;Totalmente en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;;Sin importancia;Sin importancia;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Importante;;Neutral;Neutral;Neutral;En desacuerdo;Neutral;De acuerdo;En desacuerdo;588430372;bfb86e70-95f9-4154-bece-ac20c67e90cb;2025-10-22T15:41:59;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;187
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;23;Femenino;;Intermedio;Ninguno;Básico;Avanzado;Ninguno;Intermedio;Básico;Básico;Básico;;De acuerdo;De acuerdo;Neutral;Neutral;Neutral;;Importante;Muy importante;Muy importante;Muy importante;Neutral;Neutral;Neutral;Poca importancia;Muy importante;;Neutral;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;Neutral;588430571;cafef62b-cd77-45c9-8f04-331652c2ca0a;2025-10-22T15:42:07;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;188
;Institución universitaria de envigado;Colombia;Otro;Derecho;8vo Semestre;22;Femenino;;Ninguno;Ninguno;Ninguno;Básico;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;De acuerdo;;Importante;Poca importancia;Muy importante;Importante;Importante;Importante;Importante;Importante;Muy importante;;En desacuerdo;En desacuerdo;Neutral;En desacuerdo;De acuerdo;De acuerdo;Neutral;588430995;93336f82-e9cb-4e3a-bc51-66d7e8e35396;2025-10-22T15:42:24;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;189
;Institucion Universitaria de Envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;19;Femenino;;Avanzado;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Intermedio;Avanzado;;Neutral;Neutral;Neutral;Neutral;De acuerdo;;Importante;Importante;Importante;Neutral;Poca importancia;Importante;Neutral;Importante;Muy importante;;Neutral;Neutral;Neutral;Neutral;Totalmente de acuerdo;Neutral;Totalmente en desacuerdo;588431686;4e3e62f6-a170-4ac6-add6-74a469f8d98f;2025-10-22T15:42:52;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;190
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias de la Salud;Bioquímica y Farmacia;8vo Semestre;23;Masculino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;De acuerdo;Neutral;Neutral;;Neutral;Neutral;Neutral;Importante;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588433463;f0f0edfa-2767-4f49-98f2-39a2de9ad8e2;2025-10-22T15:44:08;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;191
;ESPOCH;Ecuador;Otro;Finanzas;8vo Semestre;24;Femenino;;Básico;Básico;Básico;Ninguno;Intermedio;Básico;Intermedio;Intermedio;Avanzado;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;Neutral;Neutral;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Totalmente en desacuerdo;588433816;429d905d-72a3-458a-9782-cc5b70666cb3;2025-10-22T15:44:21;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;192
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias de la Salud;Bioquímica y Farmacia;8vo Semestre;22;Masculino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588436563;d67ca049-8eca-4d74-b8ec-aeff37cffdd2;2025-10-22T15:46:28;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;193
;ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO;Ecuador;Ciencias Económicas y Administrativas;FINANZAS;8vo Semestre;23;Masculino;;Intermedio;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Avanzado;Avanzado;;De acuerdo;Neutral;Neutral;Neutral;Neutral;;Importante;Neutral;Neutral;Neutral;Neutral;Importante;Importante;Neutral;Importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;En desacuerdo;588437791;516369e3-11f9-40a3-81c8-f3351c0a22eb;2025-10-22T15:47:44;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;194
;ESPOCH;Ecuador;Ciencias de la Salud;Bioquímica y Farmacia;8vo Semestre;22;Femenino;;Básico;Intermedio;Ninguno;Intermedio;Básico;Intermedio;Básico;Básico;Básico;;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Muy importante;Importante;Importante;Muy importante;Muy importante;Muy importante;;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;Totalmente de acuerdo;En desacuerdo;588438261;a902d913-03f0-4d3c-988b-932d825537c5;2025-10-22T15:48:13;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;195
;Espoch;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;27;Masculino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;Neutral;;Neutral;Importante;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;De acuerdo;De acuerdo;De acuerdo;Neutral;Neutral;De acuerdo;De acuerdo;588439232;6acb4403-9294-4b70-b4d7-9daf66f9ce73;2025-10-22T15:49:16;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;196
;ESPOCH;Ecuador;Ciencias de la Salud;Bioquímica y farmacia;8vo Semestre;23;Femenino;;Básico;Básico;Básico;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;De acuerdo;De acuerdo;De acuerdo;588439503;dc9d7f44-d096-481d-a05e-65916372d72c;2025-10-22T15:49:39;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;197
;Institución universitaria de Envigado;Colombia;Ciencias Económicas y Administrativas;Contaduría pública;9no Semestre;27;Femenino;;Avanzado;Intermedio;Básico;Intermedio;Avanzado;Avanzado;Experto;Experto;Experto;;Neutral;Neutral;En desacuerdo;Neutral;De acuerdo;;Importante;Importante;Importante;Neutral;Neutral;Importante;Importante;Importante;Muy importante;;Neutral;Neutral;Neutral;Neutral;De acuerdo;De acuerdo;En desacuerdo;588440650;f207ec75-34de-435a-abc8-074a56759337;2025-10-22T15:51:11;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;198
;Universidad de envigado;Colombia;Ciencias Económicas y Administrativas;Contaduría publica;9no Semestre;26;Masculino;;Intermedio;Básico;Básico;Básico;Básico;Básico;Básico;Intermedio;Básico;;En desacuerdo;Neutral;En desacuerdo;Neutral;Neutral;;Importante;Importante;Neutral;Importante;Importante;Neutral;Importante;Importante;Importante;;De acuerdo;Neutral;Neutral;Neutral;Neutral;De acuerdo;Neutral;588441414;cf064b83-388e-4aca-8fe9-c5f1ad2adff9;2025-10-22T15:52:11;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;199
;ESPOCH;Ecuador;Ingeniería y Tecnología;Ingeniería de Software;8vo Semestre;25;Masculino;;Ninguno;Ninguno;Ninguno;Experto;Básico;Básico;Básico;Básico;Básico;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588441517;48d46148-282b-4790-83d7-416c139d9995;2025-10-22T15:52:18;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;200
;Espoch;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;22;Masculino;;Intermedio;Ninguno;Básico;Básico;Básico;Básico;Básico;Básico;Básico;;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Sin importancia;Sin importancia;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588442765;787d45af-bbfc-484d-971d-c03730eca949;2025-10-22T15:54:08;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;201
;Envigado;Colombia;Ciencias Económicas y Administrativas;Contaduría pública;8vo Semestre;31;Femenino;;Intermedio;Básico;Básico;Básico;Intermedio;Básico;Intermedio;Intermedio;Intermedio;;Totalmente de acuerdo;Neutral;En desacuerdo;En desacuerdo;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588443730;9778d3f2-b958-4fd4-a4c4-ceb0bb037d56;2025-10-22T15:55:15;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;202
